epigramme_source,rang,epigramme_proche,similarite,texte_source,texte_proche
2,1,1,0.9083,"« Diogène, allons, dis-moi quel destin t'a ravi? - C'est la morsure féroce du Chien, qui m'a ravi chez Hadès. »","« Tu as vécu en chien, Antisthène. - C'est que j'étais né pour déchirer le cœur avec des mots et non avec des crocs. - Mais tu es mort en chien que tu étais né, dira sans doute quelqu'un. - Eh quoi ! il fait bien qu'il y en ait pour servir de guide chez Hadès. »"
2,2,5,0.8683,"« Diogène, allons, dis-moi quel destin t'a ravi? - C'est la morsure féroce du Chien, qui m'a ravi chez Hadès. »","Moi, Alcimènés, jadis j'écartais l'etourneau et la voleuse de semences, la grue de Bistonie au vol élevé, en tendant les bras agiles de ma fronde, et je repoussais au loin la nuée des oiseaux. Mais en me piquant près de la cheville, une vipère dipsas a versé dans ma chair le venin amer de ses mâchoires, me privant de la vue du soleil. Voilà comment en regardant ce qui ce passait en l'air, je n'ai pas vu le mal qui rampait à mes pieds."
2,3,3,0.8677,"« Diogène, allons, dis-moi quel destin t'a ravi? - C'est la morsure féroce du Chien, qui m'a ravi chez Hadès. »","On dit qu'un jour il passait devant un jeune chien qu'on frappait, il en eut compassion et prononça ces paroles : « Arrête et ne frappe plus, car sûrement c'est l'âme d'un ami, que j'ai reconnue en l'entendant crier. »"
2,4,14,0.8655,"« Diogène, allons, dis-moi quel destin t'a ravi? - C'est la morsure féroce du Chien, qui m'a ravi chez Hadès. »","Les flots et les vagues houleuses m'ont jeté sur le rivage, moi dauphin, et je fus pour les passants une étrange vision d'infortune. Mais sur la terre il y a place pour la pitié ; car ceux qui m'avaient vu m'ont aussitôt, dans leur piété, honoré d'un tombeau. C'est celle qui m'a enfanté, la mer, qui m'a fait périr. Quelle confiance avoir dans l'Océan, qui n'a même pas épargné son propre nourrisson ?"
2,5,13,0.8548,"« Diogène, allons, dis-moi quel destin t'a ravi? - C'est la morsure féroce du Chien, qui m'a ravi chez Hadès. »","Tu ne vas plus t'élancer à travers les profondeurs bouillonnantes de la mer, ô dauphin, et effrayer les troupeaux marins ni danser au chant de la flûte percée de trous, en faisant jaillir l'eau autour des barques ni, tout écumant, prendre sur ton dos comme autrefois les Néréides, pour les porter jusqu'aux bornes de l'empire de Téthys. Car une vague, pareille au promontoire Malée, s'est soulevée et t'a jeté sur les sables et les cailloux du rivage."
3,1,1,0.8868,"On dit qu'un jour il passait devant un jeune chien qu'on frappait, il en eut compassion et prononça ces paroles : « Arrête et ne frappe plus, car sûrement c'est l'âme d'un ami, que j'ai reconnue en l'entendant crier. »","« Tu as vécu en chien, Antisthène. - C'est que j'étais né pour déchirer le cœur avec des mots et non avec des crocs. - Mais tu es mort en chien que tu étais né, dira sans doute quelqu'un. - Eh quoi ! il fait bien qu'il y en ait pour servir de guide chez Hadès. »"
3,2,2,0.8677,"On dit qu'un jour il passait devant un jeune chien qu'on frappait, il en eut compassion et prononça ces paroles : « Arrête et ne frappe plus, car sûrement c'est l'âme d'un ami, que j'ai reconnue en l'entendant crier. »","« Diogène, allons, dis-moi quel destin t'a ravi? - C'est la morsure féroce du Chien, qui m'a ravi chez Hadès. »"
3,3,12,0.8658,"On dit qu'un jour il passait devant un jeune chien qu'on frappait, il en eut compassion et prononça ces paroles : « Arrête et ne frappe plus, car sûrement c'est l'âme d'un ami, que j'ai reconnue en l'entendant crier. »","Tu ne jettes plus, posée sur les feuilles vertes, l'agréable chanson de ton cri perçant ; mais c'est quand tu chantais, stridente cigale, qu'un jeune garçon te tua de sa main tendue."
3,4,14,0.8529,"On dit qu'un jour il passait devant un jeune chien qu'on frappait, il en eut compassion et prononça ces paroles : « Arrête et ne frappe plus, car sûrement c'est l'âme d'un ami, que j'ai reconnue en l'entendant crier. »","Les flots et les vagues houleuses m'ont jeté sur le rivage, moi dauphin, et je fus pour les passants une étrange vision d'infortune. Mais sur la terre il y a place pour la pitié ; car ceux qui m'avaient vu m'ont aussitôt, dans leur piété, honoré d'un tombeau. C'est celle qui m'a enfanté, la mer, qui m'a fait périr. Quelle confiance avoir dans l'Océan, qui n'a même pas épargné son propre nourrisson ?"
3,5,9,0.848,"On dit qu'un jour il passait devant un jeune chien qu'on frappait, il en eut compassion et prononça ces paroles : « Arrête et ne frappe plus, car sûrement c'est l'âme d'un ami, que j'ai reconnue en l'entendant crier. »","Moi qui jadis, en renvoyant le sons, répondais souvent aux pâtres, aux bûcherons et aux pêcheurs, moi, la pie, qui souvent jetais mes cris répétés, comme un écho, accents trompeurs d'une voix apte à répondre aux chants, maintenant tombée à terre. Je gis sans langue et sans voix, déchue de mon besoin d'imitation."
4,1,7,0.8756,"Ici aussi l'oiseau sacré reposera son aile rapide, en s' arrêtant sur ce platane plein d'attrait. Il est mort en effet, Poimandros de Mélien, et il ne viendra plus verser sa glu sur ses pipeaux de chasse.","Non, jamais plus, mélodieuse sauterelle, Hélios ne te verra chanter dans la demeure opulente d'Alkis. Déjà en effet tu as pris ton vol vers les prairies de Clyménos et les fleurs humides de rosée de la rayonnante Perséphone."
4,2,10,0.8729,"Ici aussi l'oiseau sacré reposera son aile rapide, en s' arrêtant sur ce platane plein d'attrait. Il est mort en effet, Poimandros de Mélien, et il ne viendra plus verser sa glu sur ses pipeaux de chasse.","Jamais plus de tes ailes bruissantes tu ne chanteras, sauterelle, posée le long des sillons fertiles ; jamais plus, étendu à l'ombre des rameaux, je ne serai charmé du chant mélodieux rythmé par tes blondes ailes."
4,3,13,0.8555,"Ici aussi l'oiseau sacré reposera son aile rapide, en s' arrêtant sur ce platane plein d'attrait. Il est mort en effet, Poimandros de Mélien, et il ne viendra plus verser sa glu sur ses pipeaux de chasse.","Tu ne vas plus t'élancer à travers les profondeurs bouillonnantes de la mer, ô dauphin, et effrayer les troupeaux marins ni danser au chant de la flûte percée de trous, en faisant jaillir l'eau autour des barques ni, tout écumant, prendre sur ton dos comme autrefois les Néréides, pour les porter jusqu'aux bornes de l'empire de Téthys. Car une vague, pareille au promontoire Malée, s'est soulevée et t'a jeté sur les sables et les cailloux du rivage."
4,4,9,0.8449,"Ici aussi l'oiseau sacré reposera son aile rapide, en s' arrêtant sur ce platane plein d'attrait. Il est mort en effet, Poimandros de Mélien, et il ne viendra plus verser sa glu sur ses pipeaux de chasse.","Moi qui jadis, en renvoyant le sons, répondais souvent aux pâtres, aux bûcherons et aux pêcheurs, moi, la pie, qui souvent jetais mes cris répétés, comme un écho, accents trompeurs d'une voix apte à répondre aux chants, maintenant tombée à terre. Je gis sans langue et sans voix, déchue de mon besoin d'imitation."
4,5,11,0.841,"Ici aussi l'oiseau sacré reposera son aile rapide, en s' arrêtant sur ce platane plein d'attrait. Il est mort en effet, Poimandros de Mélien, et il ne viendra plus verser sa glu sur ses pipeaux de chasse.","Sauterelle, toi qui trompes mes regrets et apaises mon sommeil, sauterelle, muse agreste au vol mélodieux, imitation naturelle de la lyre, dis-moi quelque chant aimé en frappant de tes pattes tes ailes sonores, afin de m'arracher au souci de mes peines qui m'enlèvent le sommeil, cigale, toi qui sais les chants qui trompent l'amour. A ton réveil je te donnerai comme récompense du poireau toujours vert et des plantes humides de rosée, que tu diviseras de tes lèvres."
5,1,14,0.8844,"Moi, Alcimènés, jadis j'écartais l'etourneau et la voleuse de semences, la grue de Bistonie au vol élevé, en tendant les bras agiles de ma fronde, et je repoussais au loin la nuée des oiseaux. Mais en me piquant près de la cheville, une vipère dipsas a versé dans ma chair le venin amer de ses mâchoires, me privant de la vue du soleil. Voilà comment en regardant ce qui ce passait en l'air, je n'ai pas vu le mal qui rampait à mes pieds.","Les flots et les vagues houleuses m'ont jeté sur le rivage, moi dauphin, et je fus pour les passants une étrange vision d'infortune. Mais sur la terre il y a place pour la pitié ; car ceux qui m'avaient vu m'ont aussitôt, dans leur piété, honoré d'un tombeau. C'est celle qui m'a enfanté, la mer, qui m'a fait périr. Quelle confiance avoir dans l'Océan, qui n'a même pas épargné son propre nourrisson ?"
5,2,11,0.8786,"Moi, Alcimènés, jadis j'écartais l'etourneau et la voleuse de semences, la grue de Bistonie au vol élevé, en tendant les bras agiles de ma fronde, et je repoussais au loin la nuée des oiseaux. Mais en me piquant près de la cheville, une vipère dipsas a versé dans ma chair le venin amer de ses mâchoires, me privant de la vue du soleil. Voilà comment en regardant ce qui ce passait en l'air, je n'ai pas vu le mal qui rampait à mes pieds.","Sauterelle, toi qui trompes mes regrets et apaises mon sommeil, sauterelle, muse agreste au vol mélodieux, imitation naturelle de la lyre, dis-moi quelque chant aimé en frappant de tes pattes tes ailes sonores, afin de m'arracher au souci de mes peines qui m'enlèvent le sommeil, cigale, toi qui sais les chants qui trompent l'amour. A ton réveil je te donnerai comme récompense du poireau toujours vert et des plantes humides de rosée, que tu diviseras de tes lèvres."
5,3,9,0.8771,"Moi, Alcimènés, jadis j'écartais l'etourneau et la voleuse de semences, la grue de Bistonie au vol élevé, en tendant les bras agiles de ma fronde, et je repoussais au loin la nuée des oiseaux. Mais en me piquant près de la cheville, une vipère dipsas a versé dans ma chair le venin amer de ses mâchoires, me privant de la vue du soleil. Voilà comment en regardant ce qui ce passait en l'air, je n'ai pas vu le mal qui rampait à mes pieds.","Moi qui jadis, en renvoyant le sons, répondais souvent aux pâtres, aux bûcherons et aux pêcheurs, moi, la pie, qui souvent jetais mes cris répétés, comme un écho, accents trompeurs d'une voix apte à répondre aux chants, maintenant tombée à terre. Je gis sans langue et sans voix, déchue de mon besoin d'imitation."
5,4,10,0.8733,"Moi, Alcimènés, jadis j'écartais l'etourneau et la voleuse de semences, la grue de Bistonie au vol élevé, en tendant les bras agiles de ma fronde, et je repoussais au loin la nuée des oiseaux. Mais en me piquant près de la cheville, une vipère dipsas a versé dans ma chair le venin amer de ses mâchoires, me privant de la vue du soleil. Voilà comment en regardant ce qui ce passait en l'air, je n'ai pas vu le mal qui rampait à mes pieds.","Jamais plus de tes ailes bruissantes tu ne chanteras, sauterelle, posée le long des sillons fertiles ; jamais plus, étendu à l'ombre des rameaux, je ne serai charmé du chant mélodieux rythmé par tes blondes ailes."
5,5,13,0.8726,"Moi, Alcimènés, jadis j'écartais l'etourneau et la voleuse de semences, la grue de Bistonie au vol élevé, en tendant les bras agiles de ma fronde, et je repoussais au loin la nuée des oiseaux. Mais en me piquant près de la cheville, une vipère dipsas a versé dans ma chair le venin amer de ses mâchoires, me privant de la vue du soleil. Voilà comment en regardant ce qui ce passait en l'air, je n'ai pas vu le mal qui rampait à mes pieds.","Tu ne vas plus t'élancer à travers les profondeurs bouillonnantes de la mer, ô dauphin, et effrayer les troupeaux marins ni danser au chant de la flûte percée de trous, en faisant jaillir l'eau autour des barques ni, tout écumant, prendre sur ton dos comme autrefois les Néréides, pour les porter jusqu'aux bornes de l'empire de Téthys. Car une vague, pareille au promontoire Malée, s'est soulevée et t'a jeté sur les sables et les cailloux du rivage."
6,1,14,0.8418,"D'elles-mêmes, le soir, les vaches sont revenues de la montagne à l'étable, couvertes d'une neige abondante et, hélas, au pied d'une chêne, Thérimachos dort du sommeil éternel : c'est le feu du ciel qui l'y a plongé.","Les flots et les vagues houleuses m'ont jeté sur le rivage, moi dauphin, et je fus pour les passants une étrange vision d'infortune. Mais sur la terre il y a place pour la pitié ; car ceux qui m'avaient vu m'ont aussitôt, dans leur piété, honoré d'un tombeau. C'est celle qui m'a enfanté, la mer, qui m'a fait périr. Quelle confiance avoir dans l'Océan, qui n'a même pas épargné son propre nourrisson ?"
6,2,13,0.8416,"D'elles-mêmes, le soir, les vaches sont revenues de la montagne à l'étable, couvertes d'une neige abondante et, hélas, au pied d'une chêne, Thérimachos dort du sommeil éternel : c'est le feu du ciel qui l'y a plongé.","Tu ne vas plus t'élancer à travers les profondeurs bouillonnantes de la mer, ô dauphin, et effrayer les troupeaux marins ni danser au chant de la flûte percée de trous, en faisant jaillir l'eau autour des barques ni, tout écumant, prendre sur ton dos comme autrefois les Néréides, pour les porter jusqu'aux bornes de l'empire de Téthys. Car une vague, pareille au promontoire Malée, s'est soulevée et t'a jeté sur les sables et les cailloux du rivage."
6,3,12,0.839,"D'elles-mêmes, le soir, les vaches sont revenues de la montagne à l'étable, couvertes d'une neige abondante et, hélas, au pied d'une chêne, Thérimachos dort du sommeil éternel : c'est le feu du ciel qui l'y a plongé.","Tu ne jettes plus, posée sur les feuilles vertes, l'agréable chanson de ton cri perçant ; mais c'est quand tu chantais, stridente cigale, qu'un jeune garçon te tua de sa main tendue."
6,4,3,0.839,"D'elles-mêmes, le soir, les vaches sont revenues de la montagne à l'étable, couvertes d'une neige abondante et, hélas, au pied d'une chêne, Thérimachos dort du sommeil éternel : c'est le feu du ciel qui l'y a plongé.","On dit qu'un jour il passait devant un jeune chien qu'on frappait, il en eut compassion et prononça ces paroles : « Arrête et ne frappe plus, car sûrement c'est l'âme d'un ami, que j'ai reconnue en l'entendant crier. »"
6,5,8,0.8357,"D'elles-mêmes, le soir, les vaches sont revenues de la montagne à l'étable, couvertes d'une neige abondante et, hélas, au pied d'une chêne, Thérimachos dort du sommeil éternel : c'est le feu du ciel qui l'y a plongé.","A la sauterelle, rossignol des guérets, à la cigale, hôtesse des hêtres, Myro fit une tombe commune ; elle répandit, la jeune fille, une larme virginale : c'est que l'impitoyable Hadès s'en allait en emportant le double objet de ses jeux."
7,1,10,0.906,"Non, jamais plus, mélodieuse sauterelle, Hélios ne te verra chanter dans la demeure opulente d'Alkis. Déjà en effet tu as pris ton vol vers les prairies de Clyménos et les fleurs humides de rosée de la rayonnante Perséphone.","Jamais plus de tes ailes bruissantes tu ne chanteras, sauterelle, posée le long des sillons fertiles ; jamais plus, étendu à l'ombre des rameaux, je ne serai charmé du chant mélodieux rythmé par tes blondes ailes."
7,2,4,0.8756,"Non, jamais plus, mélodieuse sauterelle, Hélios ne te verra chanter dans la demeure opulente d'Alkis. Déjà en effet tu as pris ton vol vers les prairies de Clyménos et les fleurs humides de rosée de la rayonnante Perséphone.","Ici aussi l'oiseau sacré reposera son aile rapide, en s' arrêtant sur ce platane plein d'attrait. Il est mort en effet, Poimandros de Mélien, et il ne viendra plus verser sa glu sur ses pipeaux de chasse."
7,3,13,0.875,"Non, jamais plus, mélodieuse sauterelle, Hélios ne te verra chanter dans la demeure opulente d'Alkis. Déjà en effet tu as pris ton vol vers les prairies de Clyménos et les fleurs humides de rosée de la rayonnante Perséphone.","Tu ne vas plus t'élancer à travers les profondeurs bouillonnantes de la mer, ô dauphin, et effrayer les troupeaux marins ni danser au chant de la flûte percée de trous, en faisant jaillir l'eau autour des barques ni, tout écumant, prendre sur ton dos comme autrefois les Néréides, pour les porter jusqu'aux bornes de l'empire de Téthys. Car une vague, pareille au promontoire Malée, s'est soulevée et t'a jeté sur les sables et les cailloux du rivage."
7,4,11,0.8637,"Non, jamais plus, mélodieuse sauterelle, Hélios ne te verra chanter dans la demeure opulente d'Alkis. Déjà en effet tu as pris ton vol vers les prairies de Clyménos et les fleurs humides de rosée de la rayonnante Perséphone.","Sauterelle, toi qui trompes mes regrets et apaises mon sommeil, sauterelle, muse agreste au vol mélodieux, imitation naturelle de la lyre, dis-moi quelque chant aimé en frappant de tes pattes tes ailes sonores, afin de m'arracher au souci de mes peines qui m'enlèvent le sommeil, cigale, toi qui sais les chants qui trompent l'amour. A ton réveil je te donnerai comme récompense du poireau toujours vert et des plantes humides de rosée, que tu diviseras de tes lèvres."
7,5,5,0.8556,"Non, jamais plus, mélodieuse sauterelle, Hélios ne te verra chanter dans la demeure opulente d'Alkis. Déjà en effet tu as pris ton vol vers les prairies de Clyménos et les fleurs humides de rosée de la rayonnante Perséphone.","Moi, Alcimènés, jadis j'écartais l'etourneau et la voleuse de semences, la grue de Bistonie au vol élevé, en tendant les bras agiles de ma fronde, et je repoussais au loin la nuée des oiseaux. Mais en me piquant près de la cheville, une vipère dipsas a versé dans ma chair le venin amer de ses mâchoires, me privant de la vue du soleil. Voilà comment en regardant ce qui ce passait en l'air, je n'ai pas vu le mal qui rampait à mes pieds."
8,1,11,0.8727,"A la sauterelle, rossignol des guérets, à la cigale, hôtesse des hêtres, Myro fit une tombe commune ; elle répandit, la jeune fille, une larme virginale : c'est que l'impitoyable Hadès s'en allait en emportant le double objet de ses jeux.","Sauterelle, toi qui trompes mes regrets et apaises mon sommeil, sauterelle, muse agreste au vol mélodieux, imitation naturelle de la lyre, dis-moi quelque chant aimé en frappant de tes pattes tes ailes sonores, afin de m'arracher au souci de mes peines qui m'enlèvent le sommeil, cigale, toi qui sais les chants qui trompent l'amour. A ton réveil je te donnerai comme récompense du poireau toujours vert et des plantes humides de rosée, que tu diviseras de tes lèvres."
8,2,10,0.8548,"A la sauterelle, rossignol des guérets, à la cigale, hôtesse des hêtres, Myro fit une tombe commune ; elle répandit, la jeune fille, une larme virginale : c'est que l'impitoyable Hadès s'en allait en emportant le double objet de ses jeux.","Jamais plus de tes ailes bruissantes tu ne chanteras, sauterelle, posée le long des sillons fertiles ; jamais plus, étendu à l'ombre des rameaux, je ne serai charmé du chant mélodieux rythmé par tes blondes ailes."
8,3,12,0.8482,"A la sauterelle, rossignol des guérets, à la cigale, hôtesse des hêtres, Myro fit une tombe commune ; elle répandit, la jeune fille, une larme virginale : c'est que l'impitoyable Hadès s'en allait en emportant le double objet de ses jeux.","Tu ne jettes plus, posée sur les feuilles vertes, l'agréable chanson de ton cri perçant ; mais c'est quand tu chantais, stridente cigale, qu'un jeune garçon te tua de sa main tendue."
8,4,2,0.8478,"A la sauterelle, rossignol des guérets, à la cigale, hôtesse des hêtres, Myro fit une tombe commune ; elle répandit, la jeune fille, une larme virginale : c'est que l'impitoyable Hadès s'en allait en emportant le double objet de ses jeux.","« Diogène, allons, dis-moi quel destin t'a ravi? - C'est la morsure féroce du Chien, qui m'a ravi chez Hadès. »"
8,5,1,0.8446,"A la sauterelle, rossignol des guérets, à la cigale, hôtesse des hêtres, Myro fit une tombe commune ; elle répandit, la jeune fille, une larme virginale : c'est que l'impitoyable Hadès s'en allait en emportant le double objet de ses jeux.","« Tu as vécu en chien, Antisthène. - C'est que j'étais né pour déchirer le cœur avec des mots et non avec des crocs. - Mais tu es mort en chien que tu étais né, dira sans doute quelqu'un. - Eh quoi ! il fait bien qu'il y en ait pour servir de guide chez Hadès. »"
9,1,5,0.8771,"Moi qui jadis, en renvoyant le sons, répondais souvent aux pâtres, aux bûcherons et aux pêcheurs, moi, la pie, qui souvent jetais mes cris répétés, comme un écho, accents trompeurs d'une voix apte à répondre aux chants, maintenant tombée à terre. Je gis sans langue et sans voix, déchue de mon besoin d'imitation.","Moi, Alcimènés, jadis j'écartais l'etourneau et la voleuse de semences, la grue de Bistonie au vol élevé, en tendant les bras agiles de ma fronde, et je repoussais au loin la nuée des oiseaux. Mais en me piquant près de la cheville, une vipère dipsas a versé dans ma chair le venin amer de ses mâchoires, me privant de la vue du soleil. Voilà comment en regardant ce qui ce passait en l'air, je n'ai pas vu le mal qui rampait à mes pieds."
9,2,10,0.8764,"Moi qui jadis, en renvoyant le sons, répondais souvent aux pâtres, aux bûcherons et aux pêcheurs, moi, la pie, qui souvent jetais mes cris répétés, comme un écho, accents trompeurs d'une voix apte à répondre aux chants, maintenant tombée à terre. Je gis sans langue et sans voix, déchue de mon besoin d'imitation.","Jamais plus de tes ailes bruissantes tu ne chanteras, sauterelle, posée le long des sillons fertiles ; jamais plus, étendu à l'ombre des rameaux, je ne serai charmé du chant mélodieux rythmé par tes blondes ailes."
9,3,13,0.8665,"Moi qui jadis, en renvoyant le sons, répondais souvent aux pâtres, aux bûcherons et aux pêcheurs, moi, la pie, qui souvent jetais mes cris répétés, comme un écho, accents trompeurs d'une voix apte à répondre aux chants, maintenant tombée à terre. Je gis sans langue et sans voix, déchue de mon besoin d'imitation.","Tu ne vas plus t'élancer à travers les profondeurs bouillonnantes de la mer, ô dauphin, et effrayer les troupeaux marins ni danser au chant de la flûte percée de trous, en faisant jaillir l'eau autour des barques ni, tout écumant, prendre sur ton dos comme autrefois les Néréides, pour les porter jusqu'aux bornes de l'empire de Téthys. Car une vague, pareille au promontoire Malée, s'est soulevée et t'a jeté sur les sables et les cailloux du rivage."
9,4,12,0.8664,"Moi qui jadis, en renvoyant le sons, répondais souvent aux pâtres, aux bûcherons et aux pêcheurs, moi, la pie, qui souvent jetais mes cris répétés, comme un écho, accents trompeurs d'une voix apte à répondre aux chants, maintenant tombée à terre. Je gis sans langue et sans voix, déchue de mon besoin d'imitation.","Tu ne jettes plus, posée sur les feuilles vertes, l'agréable chanson de ton cri perçant ; mais c'est quand tu chantais, stridente cigale, qu'un jeune garçon te tua de sa main tendue."
9,5,14,0.8664,"Moi qui jadis, en renvoyant le sons, répondais souvent aux pâtres, aux bûcherons et aux pêcheurs, moi, la pie, qui souvent jetais mes cris répétés, comme un écho, accents trompeurs d'une voix apte à répondre aux chants, maintenant tombée à terre. Je gis sans langue et sans voix, déchue de mon besoin d'imitation.","Les flots et les vagues houleuses m'ont jeté sur le rivage, moi dauphin, et je fus pour les passants une étrange vision d'infortune. Mais sur la terre il y a place pour la pitié ; car ceux qui m'avaient vu m'ont aussitôt, dans leur piété, honoré d'un tombeau. C'est celle qui m'a enfanté, la mer, qui m'a fait périr. Quelle confiance avoir dans l'Océan, qui n'a même pas épargné son propre nourrisson ?"
10,1,7,0.906,"Jamais plus de tes ailes bruissantes tu ne chanteras, sauterelle, posée le long des sillons fertiles ; jamais plus, étendu à l'ombre des rameaux, je ne serai charmé du chant mélodieux rythmé par tes blondes ailes.","Non, jamais plus, mélodieuse sauterelle, Hélios ne te verra chanter dans la demeure opulente d'Alkis. Déjà en effet tu as pris ton vol vers les prairies de Clyménos et les fleurs humides de rosée de la rayonnante Perséphone."
